assetId,name,manufacturer,category,fuelBurnApprox,marketValueIndicative,prompt,status,targetFolder
AIR-001,Airbus A220-100,Airbus,Narrow-body regional,~2.1 t/h,~US$ 81 mi,"Aeronave comercial Airbus A220-100 em solo, pintura genérica premium, foto ultrarrealista lateral 3/4, pista de aeroporto ao fundo.",prompt_planejado,assets/planes/cinematic/
AIR-002,Airbus A220-300,Airbus,Narrow-body regional,~2.3 t/h,~US$ 91 mi,"Airbus A220-300 ultrarrealista, pintura genérica premium, pista moderna ao fundo, foto 3/4.",prompt_planejado,assets/planes/cinematic/
AIR-003,Airbus A318,Airbus,Narrow-body,~2.4 t/h,~US$ 35 mi usado,"Airbus A318 ultrarrealista, aeronave comercial em taxiway, pintura genérica.",prompt_planejado,assets/planes/cinematic/
AIR-004,Airbus A319,Airbus,Narrow-body,~2.5 t/h,~US$ 45 mi usado,"Airbus A319 ultrarrealista, lateral 3/4, aeroporto internacional.",prompt_planejado,assets/planes/cinematic/
AIR-005,Airbus A320ceo,Airbus,Narrow-body,~2.6 t/h,~US$ 50 mi usado,"Airbus A320 comercial ultrarrealista, foto de catálogo, pintura genérica premium.",prompt_planejado,assets/planes/cinematic/
AIR-006,Airbus A320neo,Airbus,Narrow-body,~2.3 t/h,~US$ 110 mi,"Airbus A320neo ultrarrealista, aeronave moderna em pista, iluminação natural.",prompt_planejado,assets/planes/cinematic/
AIR-007,Airbus A321ceo,Airbus,Narrow-body,~2.9 t/h,~US$ 60 mi usado,"Airbus A321 ultrarrealista, foto de catálogo premium, aeroporto ao fundo.",prompt_planejado,assets/planes/cinematic/
AIR-008,Airbus A321neo,Airbus,Narrow-body,~2.6 t/h,~US$ 130 mi,"Airbus A321neo ultrarrealista, fuselagem longa, pintura genérica.",prompt_planejado,assets/planes/cinematic/
AIR-009,Airbus A330-200,Airbus,Wide-body,~5.4 t/h,~US$ 70 mi usado,"Airbus A330-200 ultrarrealista, wide-body em solo, visual premium.",prompt_planejado,assets/planes/cinematic/
AIR-010,Airbus A330-300,Airbus,Wide-body,~5.8 t/h,~US$ 85 mi usado,"Airbus A330-300 ultrarrealista, foto 3/4 em aeroporto internacional.",prompt_planejado,assets/planes/cinematic/
AIR-011,Airbus A330-900neo,Airbus,Wide-body,~5.2 t/h,~US$ 296 mi,"Airbus A330neo ultrarrealista, wide-body moderno, pista ao fundo.",prompt_planejado,assets/planes/cinematic/
AIR-012,Airbus A340-300,Airbus,Wide-body,~7.0 t/h,~US$ 35 mi usado,"Airbus A340-300 ultrarrealista, quatro motores, aeroporto grande ao fundo.",prompt_planejado,assets/planes/cinematic/
AIR-013,Airbus A350-900,Airbus,Wide-body,~5.8 t/h,~US$ 317 mi,"Airbus A350-900 ultrarrealista, aeronave moderna de longo alcance, pintura genérica.",prompt_planejado,assets/planes/cinematic/
AIR-014,Airbus A350-1000,Airbus,Wide-body,~6.3 t/h,~US$ 366 mi,"Airbus A350-1000 ultrarrealista, longo alcance, foto de catálogo premium.",prompt_planejado,assets/planes/cinematic/
